слово,дискретна тональність,усереднена тональність,дисперсія
аборигенний,0,"-0,25","0,4330127019"
аборт,-1,-1,"0,8164965809"
абсолютний,0,"0,3333333333","0,4714045208"
абстрактний,0,"-0,1111111111","0,8748897638"
абсурд,-1,-1,0
абсурдний,-1,-1,0
абсурдно,-1,-1,0
абхаз,0,0,0
авантюра,0,"-0,3333333333","0,4714045208"
авантюрний,0,"-0,3333333333","0,4714045208"
аварійний,-1,-1,"0,8164965809"
аварія,-1,"-1,25","0,4330127019"
авіаносець,0,"-0,3333333333","0,4714045208"
авіаційний,0,0,0
авіація,0,"0,1111111111","0,3142696805"
австралієць,0,"-0,3333333333","0,4714045208"
австралійський,0,0,0
австрієць,0,0,"0,5773502692"
австрійський,0,0,0
автентичний,1,"0,5714285714","0,4948716593"
авто,0,0,0
автобіографічний,0,0,0
автовласник,0,0,0
автолюбитель,0,"0,2222222222","0,6285393611"
автомат,-1,"-0,6666666667","0,4714045208"
автоматичний,0,"-0,2222222222","0,4157397096"
автоматник,0,0,0
автомобіліст,0,0,0
автомобільний,0,0,0
автономний,0,0,0
автор,0,0,0
автореферат,0,0,0
авторитет,0,"0,3333333333","0,4714045208"
авторитетний,1,"0,6666666667","0,9428090416"
автотранспорт,0,0,0
автошкола,0,0,0
автошлях,0,0,0
ага,0,"-0,3333333333","0,4714045208"
агент,0,0,0
агентство,0,0,0
агітаційний,0,0,0
агітка,-1,"-0,8333333333","0,6871842709"
агонія,-1,"-1,3333333333","0,4714045208"
аграрний,0,"0,3333333333","0,4714045208"
агресивний,-1,-1,0
агресія,-1,"-1,3333333333","0,4714045208"
адвокат,0,0,0
адвокатський,0,0,0
адекватний,1,1,0
адекватно,1,1,0
адміністративний,0,0,0
адміністрація,0,0,0
адміралтейський,0,0,0
адресний,0,0,0
аеропорт,0,0,0
ажіотажний,0,0,0
азербайджанець,0,0,0
азербайджанський,0,0,0
азіат,0,0,0
азіатський,0,0,0
азовський,0,0,0
академія,0,"0,2222222222","0,4157397096"
акаунт,0,0,0
акбар,0,0,0
акваторія,0,0,0
акт,0,0,0
активізація,0,"0,1111111111","0,3142696805"
активізувати,0,"-0,3333333333","0,4714045208"
активізуватися,0,"0,1666666667","0,3726779962"
активність,0,0,0
актуальний,0,"0,3333333333","0,4714045208"
актуально,0,"0,3333333333","0,4714045208"
акуратненький,0,0,1
акуратний,1,1,0
акцент,0,0,0
акціонер,0,0,0
акція,0,0,0
алгебра,0,0,0
алгоритм,0,0,0
алергічний,0,"-0,25","0,4330127019"
алжирський,0,"-0,1428571429","0,3499271061"
алібі,0,0,0
аліменти,0,0,0
алкаш,-2,"-1,6666666667","0,4714045208"
алкоголізм,-1,"-1,3333333333","0,4714045208"
алогічний,-1,"-0,75","0,8291561976"
альтернатива,0,"0,3333333333","0,4714045208"
альтернативний,0,0,0
альтруїстичний,1,"0,75","0,4330127019"
алюмінієвий,0,0,0
алюміній,0,0,0
аматорський,0,0,"0,8164965809"
амбівалентний,0,0,0
амбітний,1,1,"0,8164965809"
амбіція,1,"0,6666666667","0,4714045208"
американець,0,0,0
американо,0,"-0,1111111111","0,3142696805"
американський,0,-125,"0,3307189139"
амністія,1,"0,6666666667","0,4714045208"
амністувати,0,"0,3333333333","0,4714045208"
аморальний,-1,-1,0
аморальний,-1,-1375,"0,4841229183"
аморфний,-1,"-0,6666666667","0,9428090416"
аналіз,0,0,0
аналізувати,0,"0,4","0,4898979486"
аналогічний,0,"-0,1111111111","0,3142696805"
анархіст,0,0,0
ангельський,1,"0,6666666667","0,4714045208"
англійська,0,0,0
англомовний,0,0,"0,4714045208"
анекдот,0,"0,3333333333","0,4714045208"
анестезіолог,0,0,0
анітрохи,0,"-0,3333333333","0,4714045208"
анкета,0,0,0
анкетування,0,0,0
аномальний,-1,"-0,6666666667","0,4714045208"
анонімний,0,"-0,3333333333","0,4714045208"
анонімність,0,0,0
анонс,0,0,0
анонсувати,0,"0,3333333333","0,4714045208"
анти,-1,"-0,6666666667","0,9428090416"
антиалкогольний,0,"0,4","0,8"
антиамериканський,-1,"-1,3333333333","0,4714045208"
антибіотик,0,"-0,3333333333","0,4714045208"
антивоєнний,0,"-0,3333333333","0,4714045208"
антигітлерівський,0,0,0
антиглобаліст,0,"-0,3333333333","0,4714045208"
антигромадський,-1,"-1,3333333333","0,4714045208"
антигуманний,-1,"-1,3333333333","0,4714045208"
антидержавний,-1,"-0,6666666667","0,4714045208"
антиконституційний,-1,"-0,8888888889","0,7370277312"
антинаркотичний,1,1,"0,632455532"
антинародний,-1,"-0,75","0,4330127019"
антинауковий,-1,"-1,3333333333","0,4714045208"
антирадянський,-1,"-0,6666666667","0,4714045208"
антирадянщина,0,"-0,5","0,5"
антисанітарний,-1,"-1,1666666667","0,3726779962"
антисеміт,-1,"-0,6666666667","0,4714045208"
антисемітський,-1,"-1,3333333333","0,4714045208"
антисоціальний,-1,"-1,3333333333","0,4714045208"
антитерористичний,1,"0,6666666667","0,6666666667"
антиурядовий,0,"-0,3333333333","0,4714045208"
антиутопія,-1,-1,0
антифашист,0,0,0
антифашистський,0,"0,3333333333","0,4714045208"
антихристиянський,-1,-1,0
апарат,0,"-0,25","0,4330127019"
апатичний,-2,"-1,6666666667","0,4714045208"
апеляційний,0,0,0
апеляція,0,"-0,3333333333","0,4714045208"
апетитний,1,1,0
апокаліптичний,-1,-1,"0,8164965809"
апологетичний,0,"-0,3333333333","0,4714045208"
аптека,0,0,0
араб,0,0,0
арабська,0,0,0
аравійський,0,0,0
арбатський,0,0,0
арбітражний,0,0,0
аргентинець,0,"-0,1111111111","0,3142696805"
аргентинський,0,"-0,2222222222","0,4157397096"
аргумент,0,0,0
арешт,-1,"-0,6","0,4898979486"
арештант,0,0,0
аристократичний,0,"0,3333333333","0,9428090416"
арифметичний,0,"0,3333333333","0,4714045208"
арійський,0,0,0
арктичний,0,0,0
армійський,0,0,0
армія,0,"-0,1666666667","0,3726779962"
аромат,1,"0,6666666667","0,4714045208"
артерія,0,0,0
артилерист,-1,"-0,6666666667","0,4714045208"
артилерійський,0,0,0
артилерія,0,0,"0,6666666667"
архангельський,0,0,0
асамблея,0,0,0
асортимент,0,0,0
асортиментний,0,"-0,25","0,4330127019"
асоціальний,-1,"-1,2","0,4"
асоціація,0,0,0
аспірантура,0,0,0
астраханський,0,0,0
астрономічний,0,"0,3333333333","0,4714045208"
атака,0,"-0,3333333333","0,4714045208"
атакувати,-1,"-0,6","0,4898979486"
атестат,0,"0,4444444444","0,496903995"
атестація,0,0,0
атмосфера,0,0,0
атмосферний,0,0,0
атомний,0,0,0
афганець,0,0,0
афганський,-1,"-0,6666666667","0,9428090416"
афера,0,"-0,25","0,4330127019"
афінський,0,0,0
ахінея,-1,"-1,3333333333","0,4714045208"
баварський,0,0,0
багатий,0,"0,4","1,0198039027"
багато,0,0,0
багатовимірний,1,"0,6666666667","0,9428090416"
багатогранний,1,"0,6666666667","0,6666666667"
багатодітний,1,"0,6666666667","0,6666666667"
багатозначний,0,"0,5","0,5"
багатоликий,0,"-0,1428571429","1,1248582677"
багатомільйонний,-1,"-0,6","0,8"
багатомільярдний,0,"0,3333333333","0,4714045208"
багатонаціональний,0,0,0
багатообіцяючий,1,"0,6666666667","0,9428090416"
багатоплановий,0,0,0
багаторічний,0,0,0
багатостраждальний,0,"-0,3333333333","1,6996731712"
багатотисячний,0,0,"0,7071067812"
багатоцільовий,0,0,"0,7071067812"
багатошаровий,0,0,0
багатство,0,"0,5","0,5"
бадьорий,1,1,0
бажаний,1,1,0
бажаний,1,"0,8888888889","0,7370277312"
бажання,0,"0,3333333333","0,4714045208"
бажано,0,"0,3333333333","0,4714045208"
базар,0,0,0
базування,0,0,0
базуватися,0,0,0
байдуже,-1,"-1,3333333333","0,4714045208"
байдужий,-1,"-0,6666666667","0,4714045208"
байдужий,-1,"-1,3333333333","0,4714045208"
